# HNF                       3:8                                               4:7                                               5:6                                               Total                                             
  1 0 1 0 0 11              117960                                            470400                                            470400                                            1058760   
  1 0 1 0 1 11              206340                                            823200                                            823200                                            1852740   
  1 0 1 0 2 11              344940                                            1377600                                           1377600                                           3100140   
  1 0 1 0 3 11              344940                                            1377600                                           1377600                                           3100140   
  1 0 1 0 5 11              344940                                            1377600                                           1377600                                           3100140   
  1 0 1 0 7 11              344940                                            1377600                                           1377600                                           3100140   
  1 0 1 0 10 11             124320                                            495600                                            495600                                            1115520   
  1 0 1 1 2 11              407940                                            1629600                                           1629600                                           3667140   
  1 0 1 1 3 11              680940                                            2721600                                           2721600                                           6124140   
  1 0 1 1 4 11              680940                                            2721600                                           2721600                                           6124140   
  1 0 1 2 3 11              407940                                            1629600                                           1629600                                           3667140   
# ----------------------------------------------------------------------
  0 0 0 0 0 0               4006140                                           16002000                                          16002000                                          36010140                                          
