# HNF                       3:7                                               4:6                                               5:5                                               Total                                             
  1 0 1 0 0 10              8400                                              188160                                            25200                                             221760    
  1 0 1 0 1 10              15156                                             329280                                            45396                                             389832    
  1 0 1 0 2 10              23520                                             551040                                            70560                                             645120    
  1 0 1 0 3 10              23520                                             551040                                            70560                                             645120    
  1 0 1 0 4 10              23520                                             551040                                            70560                                             645120    
  1 0 1 0 5 10              23520                                             551040                                            70560                                             645120    
  1 0 1 0 6 10              23520                                             551040                                            70560                                             645120    
  1 0 1 0 8 10              23520                                             551040                                            70560                                             645120    
  1 0 1 0 9 10              10116                                             198240                                            30276                                             238632    
  1 0 1 1 2 10              29436                                             651840                                            88236                                             769512    
  1 0 1 1 3 10              45360                                             1088640                                           136080                                            1270080   
  1 0 1 1 4 10              45360                                             1088640                                           136080                                            1270080   
  1 0 1 1 5 10              22716                                             544320                                            68076                                             635112    
  1 0 1 2 4 10              45360                                             1088640                                           136080                                            1270080   
  1 0 1 2 7 10              29436                                             651840                                            88236                                             769512    
  1 0 1 4 4 10              23520                                             551040                                            70560                                             645120    
  1 0 1 4 5 10              18552                                             383040                                            55512                                             457104    
  1 0 1 2 3 10              14718                                             325920                                            44118                                             384756    
# ----------------------------------------------------------------------
  0 0 0 0 0 0               449250                                            10395840                                          1347210                                           12192300                                          
